INDIVIDUAL_ID	#EVALUATION	STRONGEST	MEDIUM	WEAKEST	RATIO	AGGREGATED
individualD.cpp	40	0	3	3	0,0218385801	6,0218385801
individualD.cpp	41	3	3	3	0,023386688	27,023386688
individualD.cpp	42	0	3	3	0,021243541	6,021243541
individualD.cpp	43	0	0	3	0,0125726533	1,0125726533
individualD.cpp	44	0	0	0	0,0053965203	0,0053965203
individualD.cpp	45	0	0	0	0,0061344183	0,0061344183
individualD.cpp	46	0	0	0	0,0061051316	0,0061051316
individualD.cpp	47	0	0	3	0,013126469	1,013126469
individualD.cpp	48	0	0	0	0,0061940106	0,0061940106
individualD.cpp	49	3	3	3	0,0233419187	27,0233419187
individualD.cpp	50	0	0	3	0,0128710045	1,0128710045
individualD.cpp	51	0	0	0	0,0060153896	0,0060153896
individualD.cpp	52	0	3	3	0,0194323339	6,0194323339
individualD.cpp	53	3	3	3	0,0247528976	27,0247528976
individualD.cpp	54	0	3	3	0,0201772538	6,0201772538
individualD.cpp	55	0	0	0	0,0060192556	0,0060192556
individualD.cpp	56	0	0	3	0,0129977275	1,0129977275
individualD.cpp	57	0	0	3	0,0130486569	1,0130486569
individualD.cpp	58	0	0	3	0,0142782387	1,0142782387
individualD.cpp	59	0	0	0	0,0067146277	0,0067146277
individualD.cpp	60	0	0	6	0,0209441832	2,0209441832
individualD.cpp	61	0	3	3	0,0237944952	6,0237944952
individualD.cpp	62	0	3	3	0,0187691094	6,0187691094
individualD.cpp	63	0	0	0	0,0071931049	0,0071931049
individualD.cpp	64	0	0	0	0,0064657204	0,0064657204
individualD.cpp	65	0	0	3	0,0142594589	1,0142594589
individualD.cpp	66	0	0	3	0,0154433537	1,0154433537
individualD.cpp	67	0	0	0	0,0078347805	0,0078347805
individualD.cpp	68	0	0	3	0,0193595245	1,0193595245
individualD.cpp	69	0	0	0	0,0083441823	0,0083441823
individualD.cpp	70	0	0	3	0,0163388079	1,0163388079
individualD.cpp	71	3	3	3	0,0284521702	27,0284521702
individualD.cpp	72	0	0	3	0,0173495558	1,0173495558
individualD.cpp	73	0	0	3	0,0138635315	1,0138635315
